ID,diametro,altura,massa,resistencia,recozido,falha_ensaio,area_secao,volume,densidade_aparente,resistencia_especifica,resistencia_prevista,residuo,defeito_estatistico,anomalia,defeito,suspeito
277,13.09,27.84,2.1,784.0,0,0,134.5764830416423,3746.6092878793215,0.0005605068045909465,373.3333333333333,768.3458988280522,15.654101171947786,1.0,1.0,1,1
280,13.03,21.82,3.2,759.0,0,0,133.3456070399658,2909.601145612054,0.001099807100648793,237.1875,871.0111040304319,-112.01110403043185,1.0,0.0,1,1
292,14.14,23.6,4.0,844.0,0,0,157.03219463042046,3705.959793277923,0.0010793425247773664,211.0,945.6767078139807,-101.67670781398067,1.0,0.0,1,1
400,12.4,17.77,2.5,912.0,1,0,120.76282160399167,2145.955339902932,0.001164982305788844,364.8,805.6787007198266,106.32129928017343,0.0,1.0,1,1
401,12.42,20.26,2.7,815.0,1,0,121.15269325230213,2454.5535652916415,0.001099996365196127,301.85185185185185,824.3451016657139,-9.345101665713855,1.0,0.0,1,1
403,12.35,22.83,3.0,807.0,1,0,119.79089137678729,2734.8260501320538,0.0010969619072683406,269.0,852.3447030845446,-45.34470308454456,1.0,0.0,1,1
404,12.85,18.53,2.7,896.0,1,0,129.68690823559515,2403.0984096055786,0.0011235494931075886,331.85185185185185,824.3451016657139,71.65489833428614,0.0,1.0,1,1
408,12.4,19.21,2.9,1021.0,1,0,120.76282160399167,2319.85380301268,0.001250078774892587,352.0689655172414,843.011502611601,177.98849738839897,0.0,1.0,1,1
409,12.46,21.97,3.3,924.0,1,0,121.9343215045153,2678.897043454201,0.0012318502527237632,280.0,880.3443045033755,43.6556954966245,0.0,1.0,1,1
411,12.42,24.62,3.7,848.0,1,0,121.15269325230213,2982.7793078716786,0.0012404538244702,229.18918918918916,917.6771063951498,-69.67710639514985,1.0,1.0,1,1
275,13.0,24.7,,,0,1,132.73228961416876,3278.4875534699686,,,,,,,1,1
279,13.0,18.2,,,0,1,132.73228961416876,2415.727670977871,,,,,,,1,1
288,14.0,19.6,,,0,1,153.93804002589985,3017.1855845076375,,,,,,,1,1
289,14.0,23.8,,,0,1,153.93804002589985,3663.725352616417,,,,,,,1,1
298,14.7,25.0,,,0,1,169.71668912855458,4242.917228213864,,,,,,,1,1
412,14.2,19.9,,,1,1,158.36768566746147,3151.5169447824833,,,,,,,1,1
413,14.2,22.7,,,1,1,158.36768566746147,3594.946464651375,,,,,,,1,1
414,14.2,24.1,,,1,1,158.36768566746147,3816.661224585822,,,,,,,1,1
415,14.2,25.6,,,1,1,158.36768566746147,4054.212753087014,,,,,,,1,1
300,14.7,20.6,,,0,1,169.71668912855458,3496.1637960482244,,,,,,,1,1
